t|Main,Q_BESS1|BESS_1,V_BESS1|BESS_1,freq_BESS_1|BESS_1,Vrms_BESS_1|BESS_1,P_BESS1|BESS_1
11.691,1.052205916,1.009197216,59.5133178,1.009330891,6.790033398
11.692,1.037097786,1.009520836,59.49983928,1.00884505,6.725475701
11.693,0.953143251,1.00933645,59.48738661,1.010562444,6.750891135
11.694,1.009846991,1.009162535,59.4764988,1.008506107,6.799268526
11.695,0.949364454,1.009439864,59.4615767,1.009070094,6.74371743
11.696,0.896147733,1.009219889,59.44852976,1.010401383,6.808429296
11.697,0.991481197,1.009166793,59.43825778,1.008064779,6.831879504
11.698,0.896635876,1.009351728,59.42927662,1.009341475,6.778984266
11.699,0.887157216,1.009093331,59.42142406,1.010079917,6.850040279
11.7,0.942979332,1.009147235,59.41455828,1.008072448,6.845301943
11.701,0.842100588,1.009288077,59.42438112,1.009686305,6.827942751
11.702,0.882901716,1.008986198,59.43296959,1.009617521,6.905970874
11.703,0.932634604,1.009213439,59.44654889,1.00808738,6.868455006
11.704,0.827853037,1.009189845,59.45842177,1.009865616,6.862032566
11.705,0.881353429,1.008905606,59.46880266,1.008761278,6.926525845
11.706,0.869321722,1.009205229,59.48195155,1.008309411,6.870890053
11.707,0.795626959,1.009083111,59.4934481,1.010021441,6.906756211
11.708,0.90436208,1.008907535,59.50349995,1.008140094,6.943607934
11.709,0.862657719,1.009194438,59.50476887,1.008667639,6.868191483
11.71,0.826446116,1.008962298,59.50587833,1.010064783,6.905819876
11.711,0.89371955,1.008910845,59.50684838,1.007789695,6.912463838
11.712,0.811201919,1.009131801,59.52691758,1.00903381,6.854951657
11.713,0.805831162,1.008872155,59.54446481,1.009831498,6.915895658
11.714,0.890318772,1.008929093,59.55165197,1.007620631,6.893336274
11.715,0.77111467,1.009029947,59.55793596,1.009292561,6.843280292
11.716,0.786937791,1.008779211,59.56343028,1.009224032,6.904508437
11.717,0.806047194,1.008975997,59.56823416,1.007856813,6.863099787
11.718,0.693840434,1.008953755,59.56488232,1.009637436,6.865051831
11.719,0.766785884,1.008658982,59.56195169,1.008485256,6.923045407
11.72,0.762432495,1.008995975,59.55386957,1.008094385,6.856967071
11.721,0.683201594,1.008848442,59.54680308,1.009752012,6.874248698
11.722,0.737226846,1.00867677,59.53801543,1.007858039,6.916564933
11.723,0.678549058,1.008949696,59.53033207,1.008380042,6.856932944
11.724,0.631450628,1.008766268,59.52361423,1.009736594,6.916177432
11.725,0.735286503,1.008650875,59.51774058,1.00736003,6.933439719
11.726,0.645145724,1.008854155,59.52815573,1.008536571,6.869352071
11.727,0.637947035,1.008577713,59.53726207,1.009371802,6.930563524
11.728,0.696388483,1.008630322,59.54522407,1.007385581,6.915822467
11.729,0.597439324,1.008741659,59.53450978,1.008974835,6.884819496
11.73,0.640490572,1.008473314,59.52514188,1.008898654,6.950317169
11.731,0.694391036,1.008680819,59.53208869,1.007391377,6.90120249
11.732,0.590228073,1.008653513,59.53816253,1.009208301,6.881430543
11.733,0.634359474,1.008404464,59.54347312,1.008058517,6.935839063
11.734,0.616270287,1.00871565,59.54811635,1.007586337,6.870023355
11.735,0.530399817,1.008605271,59.53361577,1.009322543,6.89751053
11.736,0.623924083,1.008385364,59.52093738,1.007351847,6.934723235
11.737,0.56957524,1.008668662,59.5165763,1.007868088,6.857442921
11.738,0.520521776,1.008432406,59.51276325,1.009220511,6.899449826
11.739,0.579131466,1.008389194,59.51101037,1.006993312,6.914745769
11.74,0.496692222,1.00856932,59.50947777,1.008189067,6.863664276
11.741,0.497140518,1.00831405,59.50813775,1.008925194,6.92945536
11.742,0.585590386,1.008381221,59.50696613,1.006836088,6.911718575
11.743,0.477329947,1.008523496,59.50488066,1.008447484,6.86352138
11.744,0.499772508,1.00826044,59.50305726,1.008429974,6.927186204
11.745,0.524680753,1.008450933,59.51044738,1.006935427,6.880813691
11.746,0.416841708,1.00845906,59.51690882,1.008685125,6.877736906
11.747,0.49418866,1.008178819,59.5225583,1.007630305,6.934793291
11.748,0.492182669,1.008484458,59.51851509,1.007137899,6.862269655
11.749,0.414087327,1.008317746,59.51497997,1.008854694,6.876284503
11.75,0.470007128,1.008170804,59.51188908,1.006876935,6.915124507
11.751,0.41271708,1.008449976,59.51252482,1.007372939,6.850196283
11.752,0.369923272,1.008239911,59.51308067,1.008758898,6.902756813
11.753,0.468819734,1.008179967,59.51356667,1.006509644,6.914893066
11.754,0.378994269,1.008386644,59.52464195,1.007742593,6.845690981
11.755,0.367327764,1.008119203,59.53432547,1.008557034,6.905827513
11.756,0.419674656,1.00817305,59.53703394,1.0064119,6.891502605
11.757,0.311918316,1.00827372,59.53940205,1.008063388,6.861036823
11.758,0.353659979,1.008000639,59.54147258,1.007985518,6.929291521
11.759,0.400505241,1.008190937,59.54328291,1.006540854,6.881468218
11.76,0.300816565,1.008177339,59.55418953,1.008334817,6.864221726
11.761,0.35438671,1.007934688,59.56372558,1.007166873,6.920036344
11.762,0.341874494,1.008236138,59.56068111,1.006791205,6.855775164
11.763,0.267329928,1.008136673,59.55801922,1.008447675,6.881018268
11.764,0.363997905,1.007960845,59.55840579,1.006538017,6.915846584
11.765,0.311134587,1.008233477,59.55874377,1.007068491,6.832920995
11.766,0.265028085,1.007987811,59.55903929,1.008428112,6.871237044
11.767,0.326772832,1.007926917,59.55929767,1.006094325,6.882570299
11.768,0.237548348,1.008138477,59.56658133,1.007293058,6.826203746
11.769,0.233073668,1.007884019,59.5729497,1.008111529,6.892421039
